epoch,classification_output_acc,classification_output_loss,loss,lr,segmentation_output_acc,segmentation_output_loss
0,0.9172535211267606,0.2569366081709593,0.958586637402924,1e-04,0.5104565418941874,0.7016500251393922
1,0.9894366197183099,0.06424764895313223,0.516917066674837,1e-04,0.8450448748091577,0.45266941693467155
2,1.0,0.015656817258453706,0.3249253517305347,1e-04,0.9451066473839989,0.3092685341835022
3,1.0,0.01280778617939164,0.23585007371197284,1e-04,0.9662767329686125,0.22304228787690822
4,0.9982394366197183,0.008888232695515936,0.1723711368903308,1e-04,0.9751670864266409,0.1634829042243286
5,0.9982394366197183,0.008740469224711644,0.13222741828837864,1e-04,0.9804308716679963,0.12348694973428484
6,1.0,0.003878899275253094,0.10256057043730372,1e-04,0.9834287065855214,0.09868167109892402
7,1.0,0.00337613505515447,0.08787129462604791,1e-04,0.9841289184462856,0.08449515952190882
8,1.0,0.002284462648545536,0.07670103653635778,1e-04,0.9846373611772564,0.07441657330368606
9,1.0,0.0014928833460172927,0.06570977575972047,1e-04,0.9863565136009539,0.06421689222186384
10,1.0,0.001268822693636536,0.0550671749236718,1e-04,0.988947438522124,0.05379835217141769
11,1.0,0.0010943434854582424,0.050399811544888456,1e-04,0.9891313566288478,0.04930546811558831
12,1.0,0.0010239671037325794,0.046486984098881065,1e-04,0.9892316603324782,0.04546301717489538
13,1.0,0.0009454546476186345,0.043830779131869196,1e-04,0.9890285209870674,0.04288532427498992
14,1.0,0.0007831487096731328,0.040238196948464484,1e-04,0.9895583609460106,0.03945504842509686
15,1.0,0.0007039463746199109,0.0376685795334863,1e-04,0.9897934618130536,0.036964633042963456
16,1.0,0.000685718297076241,0.034487317486757964,1e-04,0.9905926946183325,0.03380159907777545
17,1.0,0.0005742696828772904,0.030629988497411702,1e-04,0.9917943981331838,0.030055718863723983
18,1.0,0.0005215767931486612,0.0273668395066765,1e-04,0.9928285168929839,0.026845262635131956
19,1.0,0.0005373884063963384,0.026560915004409536,1e-04,0.9927620014674227,0.02602352653170975
20,1.0,0.0005087532136059681,0.024821922838897774,1e-04,0.993144948717574,0.024313169649579157
21,1.0,0.0004998506957863484,0.02414274774491787,1e-04,0.99303864089536,0.023642897054972783
22,1.0,0.0004309386514110038,0.02337118954410855,1e-04,0.9930439599802796,0.022940250848170737
23,1.0,0.00038709770027272613,0.0220558968910449,1e-04,0.9933804458295795,0.021668799064109023
24,1.0,0.0004197998173431572,0.02048314764151271,1e-04,0.9938642407806826,0.020063347668505052
25,1.0,0.0003714557136281912,0.020364317859352474,1e-04,0.9937367103469203,0.019992862080394382
26,1.0,0.00036636358411887553,0.01900089818092299,1e-04,0.9941132706655583,0.01863453461145851
27,1.0,0.00038636666375194335,0.019600563931842924,5e-05,0.9937591284093722,0.01921419723247978
28,1.0,0.00035926523467961986,0.018163297351607134,5e-05,0.9943126423258177,0.017804032126048083
29,1.0,0.0003405694747208388,0.015085312236152905,5e-05,0.9955169382229657,0.014744742786590482
30,1.0,0.00028379993449894936,0.01348383101621564,5e-05,0.9961238713331626,0.013200031055635969
31,1.0,0.00025870748166352325,0.012869193966329937,5e-05,0.9963428940571529,0.01261048645935428
32,1.0,0.0002826523396693183,0.012574633767067547,5e-05,0.9964145740992586,0.012291981379540873
33,1.0,0.0002586006781379004,0.012196192150594483,5e-05,0.9964970131994972,0.011937591496487739
34,1.0,0.00023538947886702093,0.011887582320667488,5e-05,0.9965437096609197,0.011652192861681253
35,1.0,0.00025524405446305257,0.012092847941102276,2.5e-05,0.9964009002900459,0.01183760390472664
36,1.0,0.00024405804831242767,0.01271955074716202,2.5e-05,0.9960411434442225,0.012475492734409553
37,1.0,0.0002525017602827472,0.01139300407081003,2.5e-05,0.996596054292061,0.011140502346548396
38,1.0,0.00021939581903341246,0.01021227689171341,2.5e-05,0.997104631343358,0.00999288099594939
39,1.0,0.00020773145763701957,0.009598807313702476,2.5e-05,0.9973576975540376,0.009391075852786151
40,1.0,0.00022440426035015188,0.009012896672520839,1.25e-05,0.9976006494441503,0.008788492379736312
41,1.0,0.00020855097520811988,0.009079329210372878,1.25e-05,0.997498955525143,0.00887077822494255
42,1.0,0.00019903318558058794,0.008740789335693272,1.25e-05,0.9976268956359003,0.008541756165279468
43,1.0,0.0002157891366563567,0.008594201851478765,1.25e-05,0.9977036731343873,0.008378412725377671
44,1.0,0.0002099280467467599,0.008584842426886022,1.25e-05,0.9976882733089824,0.008374914343298321
45,1.0,0.000212896092986265,0.008258881781932334,6.25e-06,0.9978411096922108,0.008045985678237088
46,1.0,0.00020163942967819438,0.008153920337347917,6.25e-06,0.9978653746591487,0.007952280873826273
47,1.0,0.00018403886820060123,0.008065373997505702,6.25e-06,0.9979025948215539,0.007881335120543207
48,1.0,0.00020272677814408408,0.007776469995700558,6.25e-06,0.9980619793206873,0.007573743160604171
49,1.0,0.00019194171340721267,0.007858855544891156,6.25e-06,0.9979858129796847,0.007666913825284008
50,1.0,0.0001864398568421832,0.007667024987159481,3.125e-06,0.9980689438296036,0.007480585127806579
51,1.0,0.00019641709250080706,0.007660137161507573,3.125e-06,0.9980642829142826,0.007463720076205865
52,1.0,0.00019955043064046678,0.007792374001107585,3.125e-06,0.9979903261426469,0.007592823599058557
53,1.0,0.00019952567762770678,0.007487197459058862,3.125e-06,0.9981440490400287,0.00728767178296833
54,1.0,0.00019153758970992706,0.007449087345789016,3.125e-06,0.9981407850561007,0.007257549767710374
55,1.0,0.00017775637352827634,0.007429002134890204,3.125e-06,0.9981531962542467,0.007251245737023336
56,1.0,0.00019456835880319746,0.0072373613702054595,3.125e-06,0.9982572877910775,0.00704279301268324
57,1.0,0.00018716197570336614,0.0073450809921806965,3.125e-06,0.9981824713693538,0.007157919016784765
58,1.0,0.00018051032092328785,0.007171668309036275,3.125e-06,0.9982611495004573,0.00699115799031627
59,1.0,0.00019037413987692636,0.007208813047430045,3.125e-06,0.9982434729455223,0.007018438927357045
60,1.0,0.0001900155080542211,0.007327416819900694,1.5625e-06,0.9981633374388789,0.00713740129837058
61,1.0,0.00019437361579932745,0.007123624978088577,1.5625e-06,0.9982705855033767,0.006929251365363598
62,1.0,0.00018611305643735507,0.007086256814097434,1.5625e-06,0.9982697124212561,0.0069001437702649075
63,1.0,0.00017206050019730112,0.007092886643720345,1.5625e-06,0.9982624792716872,0.006920826155692339
64,1.0,0.00018955850697546363,0.006962469870775518,1.5625e-06,0.9983438841054137,0.0067729113400507145
65,1.0,0.00017991423225448413,0.00703774842525452,7.8125e-07,0.9982946422738088,0.006857834205451146
66,1.0,0.00017869739065030392,0.006920992573854369,7.8125e-07,0.998345180296562,0.006742295179463608
67,1.0,0.00018759414276028622,0.006938029743048926,7.8125e-07,0.9983501904447314,0.006750435607743935
68,1.0,0.00018621286889497179,0.007052311463884904,7.8125e-07,0.9982775970244072,0.006866098604571652
69,1.0,0.00018960265669205987,0.006928178212854644,7.8125e-07,0.998350633701808,0.00673857555580391
70,1.0,0.00018454679939424468,0.006896346695983494,1.953125e-07,0.998348914401632,0.006711799887494302
71,1.0,0.00017033530298569632,0.0069008380253340156,1.953125e-07,0.9983463287353516,0.006730502746789388
72,1.0,0.0001871695900698681,0.006813074573612129,1.953125e-07,0.998406920634525,0.00662590497055314
73,1.0,0.0001790296379804716,0.006891713785925802,1.953125e-07,0.9983637433656505,0.006712684158603071
74,1.0,0.0001738178752802155,0.006822703989930976,1.953125e-07,0.9983868531777825,0.006648886096204671
75,1.0,0.0001862500312840189,0.006835806918081264,9.765625e-08,0.9983941803515797,0.006649556878009733
