epoch,classification_output_acc,classification_output_loss,loss,lr,segmentation_output_acc,segmentation_output_loss
0,0.9348591549295775,0.20640634237723032,0.34154505146221376,1e-04,0.7536586178860194,0.1351387071567522
1,0.9876760563380281,0.04268852631810685,0.110965567627843,1e-04,0.9343846977596552,0.0682770407325785
2,1.0,0.0036031808122061193,0.0454952113435302,1e-04,0.9578277955592518,0.04189203060428861
3,1.0,0.0014709575482132569,0.03049528787673359,1e-04,0.9648880429670844,0.029024330321961726
4,0.9929577464788732,0.02908964795007167,0.05280864647996258,1e-04,0.964776637688489,0.023718998491973946
5,0.9929577464788732,0.021866740127631897,0.04217199455212119,1e-04,0.966164597323243,0.020305254116234645
6,0.9982394366197183,0.005242277654834767,0.022429909819448497,1e-04,0.9698241319454891,0.017187632187466387
7,1.0,0.0011450335607637691,0.015260991417396237,1e-04,0.9749152181853711,0.014115957779363848
8,1.0,0.00016234609200848713,0.011869008226556257,1e-04,0.9792833168741683,0.011706662193780214
9,1.0,0.00016415508965200015,0.010143871379780098,1e-04,0.982274463478948,0.009979716370957839
10,1.0,0.0001241920817719033,0.008788629861312434,1e-04,0.9845035185276623,0.008664437792670558
11,1.0,9.940163376163134e-05,0.007720958270972043,1e-04,0.9862694396099574,0.00762155664507562
12,1.0,9.895593238595634e-05,0.006955452873305955,1e-04,0.9874518035163342,0.0068564969180545336
13,1.0,7.93068693063003e-05,0.006173928940511295,5e-05,0.988772064867154,0.006094622078128684
14,1.0,7.641723298125008e-05,0.005849754926420643,5e-05,0.989145213449505,0.0057733376759668475
15,1.0,7.602244365226e-05,0.0054832481792275335,5e-05,0.9898482804567041,0.005407225740679973
16,1.0,6.433171024005967e-05,0.005152169352685901,5e-05,0.9904348648769755,0.005087837639172942
17,1.0,7.40136325526999e-05,0.004788478456017837,5e-05,0.9911685082274424,0.004714464824515539
18,1.0,6.721805664095831e-05,0.004502207601547871,2.5e-05,0.9916810863454577,0.004434989516059278
19,1.0,6.0606013954691686e-05,0.0043543033682229655,2.5e-05,0.9919029339938097,0.004293697358200878
20,1.0,6.242534803110995e-05,0.004213398220804586,2.5e-05,0.9921897095693669,0.004150972868853682
21,1.0,5.827816829891239e-05,0.0040160292352903896,2.5e-05,0.9925951773012188,0.003957751059484944
22,1.0,5.7354618855268354e-05,0.003916059450154573,2.5e-05,0.9927587408415028,0.003858704828250576
23,1.0,5.75601138414538e-05,0.003785734887982548,2.5e-05,0.9930154496515301,0.003728174771720045
24,1.0,5.142702952404031e-05,0.0036485266878308964,1.25e-05,0.993268672849091,0.00359709966521133
25,1.0,5.735309084012045e-05,0.0036008607753565615,1.25e-05,0.9933290120581506,0.0035435076848879246
26,1.0,5.538888567763267e-05,0.0034800825417566467,1.25e-05,0.9935900493406914,0.003424693653228837
27,1.0,5.177334422012176e-05,0.003440025764268259,1.25e-05,0.9936517838021399,0.0033882524372196533
28,1.0,5.298589662807374e-05,0.003404261882115208,1.25e-05,0.9937231910060829,0.003351276005867501
29,1.0,5.007195178978678e-05,0.0032840774551978415,6.25e-06,0.9939593840652788,0.003234005493807121
30,1.0,4.955222879878317e-05,0.0032761763604226665,6.25e-06,0.9939730830595527,0.003226624129497459
31,1.0,5.0593332046664214e-05,0.0032279441251196494,6.25e-06,0.9940641900183449,0.003177350787052386
32,1.0,4.554603693692807e-05,0.003167705131615971,6.25e-06,0.9941833741228345,0.0031221590962418368
33,1.0,5.297551915261888e-05,0.0031793614403462745,6.25e-06,0.9941592787353086,0.003126385926701863
34,1.0,5.0179415967237145e-05,0.0030873754212606542,3.125e-06,0.9943477444245782,0.00303719601016754
35,1.0,4.729079198024381e-05,0.003121483956240642,3.125e-06,0.9942353073979767,0.0030741931601676723
36,1.0,4.959942647551094e-05,0.0031085190769862122,3.125e-06,0.9942794383411676,0.003058919650305745
37,1.0,4.671836542373468e-05,0.003031520615659759,3.125e-06,0.9944392820479164,0.0029848022353638646
38,1.0,4.637933098295012e-05,0.003063126470447636,3.125e-06,0.9943534723469909,0.003016747150596389
