epoch,classification_output_accuracy,classification_output_loss,loss,lr,segmentation_output_accuracy,segmentation_output_loss,val_classification_output_accuracy,val_classification_output_loss,val_loss,val_segmentation_output_accuracy,val_segmentation_output_loss
0,0.9277375,0.22468485,0.42416278587159684,1e-04,0.92778116,0.19947836,0.9324169754981995,0.20713914930820465,0.2501920163631439,0.9417008757591248,0.1669214814901352
1,0.9364701,0.19175658,0.3418411113638918,1e-04,0.9466271,0.15008472,0.9294100999832153,0.21466518938541412,0.15631014108657837,0.9501200318336487,0.14235681295394897
2,0.94351655,0.16676503,0.3054439453584112,1e-04,0.9505581,0.13867871,0.9318442344665527,0.21979208290576935,0.13437096774578094,0.9503615498542786,0.14183974266052246
3,0.95624167,0.12795262,0.26093635393516734,1e-04,0.9524278,0.1329838,0.9235395193099976,0.26771029829978943,0.15978731215000153,0.9514065980911255,0.13634677231311798
4,0.9694439,0.08765101,0.215107009632541,1e-04,0.9540914,0.12745595,0.9261168241500854,0.33993542194366455,0.1410464197397232,0.9527274966239929,0.13478422164916992
5,0.9768722,0.06481471,0.18993150362914518,1e-04,0.9547694,0.12511691,0.9251145720481873,0.3403821885585785,0.1415778249502182,0.9518645405769348,0.1324511468410492
6,0.9822962,0.050352547,0.17329708168307636,1e-04,0.9554339,0.12294452,0.9278350472450256,0.4942626953125,1.1938914060592651,0.9524271488189697,0.1348126083612442
7,0.9841255,0.04406166,0.16555500648934254,1e-04,0.95600045,0.12149357,0.9233963489532471,0.5098095536231995,0.8265251517295837,0.9517384171485901,0.13253982365131378
8,0.993208,0.019530695,0.13157069217253672,5e-05,0.95918745,0.11203992,0.9299828410148621,0.4783118665218353,0.7765960693359375,0.9562103748321533,0.12284543365240097
9,0.9969619,0.009068278,0.11731703774720903,5e-05,0.9605105,0.10824857,0.9286941289901733,0.5494530200958252,1.2575534582138062,0.9567916989326477,0.12134900689125061
10,0.9972641,0.0076922174,0.11226971251354984,5e-05,0.96165127,0.10457771,0.9318442344665527,0.5736156105995178,0.10960839688777924,0.9568636417388916,0.12234146893024445
11,0.9969778,0.008066292,0.10981571760741803,5e-05,0.9625068,0.10174945,0.9355670213699341,0.5331986546516418,0.12938883900642395,0.9574140906333923,0.12116669118404388
12,0.99786854,0.006108531,0.1051996158793964,5e-05,0.963319,0.09909084,0.9265463948249817,0.5752583146095276,0.14997340738773346,0.9573826789855957,0.1205621138215065
13,0.99788445,0.006571129,0.10366089517717474,5e-05,0.9638995,0.09708975,0.9358533620834351,0.6168661713600159,0.14073340594768524,0.9576689600944519,0.12019617110490799
14,0.9976936,0.006475449,0.10092116888035832,5e-05,0.9646883,0.094445564,0.931271493434906,0.5951380729675293,0.2433742880821228,0.9579288363456726,0.12036798894405365
15,0.99739134,0.006886189,0.1002371662878898,5e-05,0.96506333,0.093351014,0.9319874048233032,0.6219150424003601,0.1673818826675415,0.9571424126625061,0.1204480454325676
16,0.99931604,0.002238645,0.08900624405294742,2.5e-05,0.96717393,0.08676754,0.9309850931167603,0.6695218682289124,0.12322890758514404,0.958807647228241,0.11758234351873398
17,0.9996819,0.0011075533,0.08428040983613654,2.5e-05,0.96839297,0.08317281,0.931557834148407,0.7005821466445923,2.1697542667388916,0.9589859843254089,0.11856959015130997
18,0.9999046,0.0003634781,0.08027111743933248,2.5e-05,0.96941185,0.07990765,0.9305555820465088,0.711428165435791,1.9688899517059326,0.9589639902114868,0.1178937703371048
19,0.9999682,0.00014579922,0.07752636721025989,2.5e-05,0.97027075,0.077380665,0.9322737455368042,0.7504242658615112,2.2489075660705566,0.9591095447540283,0.11724814027547836
20,1.0,9.7674114e-05,0.07439261063503887,2.5e-05,0.97135305,0.07429499,0.9299828410148621,0.7540189623832703,2.5199382305145264,0.9595727920532227,0.1151537150144577
