epoch,classification_output_acc,classification_output_loss,loss,lr,segmentation_output_acc,segmentation_output_loss,val_classification_output_acc,val_classification_output_loss,val_loss,val_segmentation_output_acc,val_segmentation_output_loss
0,0.9267751479289941,0.2200408004494329,0.31130545006613053,1e-04,0.8566407212138881,0.091264651129408,0.9166666666666666,0.3502932052490198,0.4172785087592072,0.9164103898737166,0.06698530312213632
1,0.9785502958579881,0.08016262262007057,0.11142722717844523,1e-04,0.9566702229031444,0.03126460426217,0.9652777777777778,0.07265057330288174,0.1002852618176904,0.9556021889050802,0.027634688549571566
2,0.988905325443787,0.02966149895548057,0.05065170473821417,1e-04,0.9635857347200608,0.020990205564971505,1.0,0.011298937740826255,0.03086802601400349,0.9636924879418479,0.019569088135742478
3,0.9985207100591716,0.012619912284412614,0.02940775625429739,1e-04,0.9677262658903585,0.016787843999160817,1.0,0.0032658661398777943,0.01981228763341076,0.9670516616768308,0.01654642152910431
4,0.9970414201183432,0.009851307533242683,0.02484528759229906,1e-04,0.9694713403487346,0.014993980044730492,1.0,0.002913629007404476,0.01826947510966824,0.9671496053536733,0.015355846016771264
5,0.9992603550295858,0.004629433116635009,0.01785057620007611,1e-04,0.9721530118637537,0.013221142998174626,1.0,0.0006700213951565578,0.013320923834625218,0.972784138388104,0.01265090253824989
6,0.9992603550295858,0.0014194287383151487,0.012981421259072052,1e-04,0.9752386716695932,0.011561992514834425,1.0,0.0007683823770700352,0.012177116056490276,0.9755282981528176,0.011408733786083758
7,0.9948224852071006,0.01630398206055377,0.02729134541004896,1e-04,0.9761073409452946,0.01098736354353777,0.9305555555555556,0.1419549551574164,0.16589338430720899,0.9423425512181388,0.02393843016276757
8,0.9800295857988166,0.0553127842478969,0.06896187275504836,1e-04,0.9689689063461575,0.013649088644681598,0.9444444444444444,0.16069817892437438,0.18147878118583727,0.9522432270977232,0.020780601823288534
9,0.9837278106508875,0.060619485497754685,0.074386791750436,1e-04,0.9684348751807353,0.013767306466956111,0.9583333333333334,0.10251676414817565,0.11799268753060864,0.9640598429573907,0.015475923208416335
10,0.9933431952662722,0.02237510468120162,0.03482772138923098,1e-04,0.9712499334261968,0.012452616718647308,0.9756944444444444,0.0687974896806433,0.08385474829831058,0.9648336105876498,0.015057259109906025
11,1.0,0.0013786743570751332,0.012307090198444809,1e-04,0.9747809132880713,0.010928415828356904,1.0,0.0006683734956014734,0.012119793630619016,0.9733810706271065,0.01145142012844897
12,1.0,0.000813202111055287,0.01037725277752037,5e-05,0.9781508854860385,0.009564050703348053,1.0,0.000361510383805176,0.009994964645658102,0.9778210735983319,0.009633454313087795
13,1.0,0.000507445543980363,0.00928509007648912,5e-05,0.9800696475266,0.008777644527943794,1.0,0.00026100132657802533,0.008863786985683773,0.9803235199716356,0.008602785632117756
14,1.0,0.00033958372833673214,0.008395580534916923,5e-05,0.981747055194787,0.008055996782140883,1.0,0.00023656960643671078,0.008587488413064016,0.9808662053611543,0.008350918806778887
15,1.0,0.0002510256724650045,0.007969890891976611,5e-05,0.9824864292991232,0.007718865207214592,1.0,0.0002157630471199607,0.00800376410673683,0.9821387628714243,0.007788001074610899
16,1.0,0.0002068282557066332,0.00745331186983051,5e-05,0.9835993665209889,0.007246483640866519,1.0,0.00018302944835429317,0.007472156081348658,0.9834082822004954,0.007289126605933739
17,1.0,0.00023037913377080128,0.006990531510425478,5e-05,0.9847091030792372,0.006760152406748054,1.0,0.0001758674400586339,0.007046383029470841,0.9841462837325202,0.006870515566940109
18,1.0,0.00017943881751565662,0.006528266345993919,5e-05,0.9856289607533336,0.006348827532795671,1.0,0.00015802200117478706,0.007228822318009204,0.9835177080498801,0.007070800367121895
19,1.0,0.00024149575869665763,0.0061760380472877675,5e-05,0.9865495305089556,0.005934542299870997,1.0,0.00017393300644622892,0.0065326528856530786,0.985221685634719,0.006358719915927698
20,1.0,9.884262827067714e-05,0.005657220986732364,5e-05,0.987371661606625,0.005558378367613141,1.0,0.00011975061463292352,0.0064903333097592825,0.9853424612018797,0.0063705827407021486
