epoch,classification_output_acc,classification_output_loss,loss,lr,segmentation_output_acc,segmentation_output_loss
0,0.9142228739002932,0.2564690697493026,0.3501472948255602,1e-04,0.8191082811862492,0.0936782247553473
1,0.9717741935483871,0.07345588300534171,0.1017645174730296,1e-04,0.9469676028248851,0.028308634528797394
2,0.9923020527859238,0.02607012102827621,0.046623185880569594,1e-04,0.9566517949453897,0.020553064958637585
3,0.9959677419354839,0.012126778437535653,0.0290554346382902,1e-04,0.9625442538443199,0.016928656149622807
4,0.9904692082111437,0.028133902579023352,0.044007336600653583,1e-04,0.9636959858304245,0.015873434213249566
5,0.9791055718475073,0.06928557527358632,0.08486055393015032,1e-04,0.9635356159503858,0.015574978454901545
6,0.9956011730205279,0.013845117396401168,0.027428482391508267,1e-04,0.9682519965507418,0.013583365115651155
7,0.999633431085044,0.0016491306614425465,0.01296558913766595,1e-04,0.9736720685385539,0.011316458503456235
8,1.0,0.0008843816024035468,0.01046459126706806,1e-04,0.9777425246154807,0.009580209651208125
9,1.0,0.00016691723649100263,0.007835916199795137,1e-04,0.9822143214888587,0.007668998979354315
10,0.998900293255132,0.006152777246711594,0.014436685932865722,1e-04,0.9805942460938283,0.008283908612742103
11,1.0,0.0012840864419097035,0.008826955351664459,1e-04,0.9823174864665504,0.007542868910898124
12,0.999266862170088,0.0038096643841612045,0.01107122858472802,1e-04,0.9829079571707158,0.007261564298273444
13,0.999633431085044,0.0006334683857806505,0.007335506790983996,1e-04,0.9841819569861784,0.006702038409294905
14,0.9706744868035191,0.09471492127539713,0.10703256016916697,1e-04,0.9704933183983274,0.012317639049087977
15,0.9857038123167156,0.04040738689013045,0.05151133498114116,1e-04,0.9733248153739661,0.011103948116673926
16,0.9937683284457478,0.0159637794474634,0.02514612880915054,1e-04,0.9780563247168869,0.009182349496037643
17,0.9974340175953079,0.006138857493559849,0.014673016048746615,1e-04,0.9796976782709272,0.008534158496705056
18,1.0,0.0006054405066646712,0.007322836047669332,1e-04,0.9841054209516196,0.006717395544382593
19,1.0,0.00037599740533416395,0.005960557314490795,5e-05,0.9867838741747166,0.005584559917157718
20,0.999266862170088,0.0017942019391180685,0.007008175743549866,5e-05,0.9876376088064087,0.005213973842304517
21,1.0,0.00026430807757586754,0.005025411233622745,5e-05,0.9887027417110208,0.00476110315863917
22,1.0,0.0002740205348513489,0.0046941876845691035,5e-05,0.9894981623744685,0.004420167164633984
23,1.0,7.828543721130564e-05,0.004325781533388077,5e-05,0.9898978894756686,0.004247496102914717
24,1.0,9.8455390566711e-05,0.004096168988518133,5e-05,0.9904769608352191,0.003997713606668052
25,1.0,5.400318493444566e-05,0.0038136185455488318,5e-05,0.9910182807802105,0.0037596153711239176
26,1.0,6.78582794023608e-05,0.003722112532978184,5e-05,0.9912686351457299,0.003654254261060151
27,1.0,3.5706107492062946e-05,0.003626436550891207,5e-05,0.9914004739778133,0.003590730441559401
28,1.0,3.224884321884742e-05,0.0034587656375146374,5e-05,0.991763071929954,0.003426516796953845
29,1.0,4.5341470396253374e-05,0.0032146712116449196,5e-05,0.9923822717233137,0.003169329750933343
